12, 1, 12
E,1,2,1,24.000000,22.000000,
E,1,3,4,0.100000,13.000000,
E,2,4,1,25.000000,13.000000,
E,2,5,1,30.000000,13.000000,
E,3,4,4,0.111111,11.000000,
E,3,5,2,16.000000,28.000000,
E,4,6,4,0.100000,15.000000,
E,4,7,1,25.000000,15.000000,
E,5,6,2,19.000000,37.000000,
E,5,7,3,0.047619,9.000000,
E,6,8,5,22.000000,1.000000,
E,6,9,5,23.000000,1.000000,
E,7,8,3,0.045455,5.000000,
E,7,9,5,22.000000,1.000000,
E,8,10,2,12.000000,28.000000,
E,8,11,5,28.000000,1.000000,
E,9,10,1,22.000000,1.000000,
E,9,11,1,30.000000,1.000000,
E,10,12,1,23.000000,1.000000,
E,11,12,5,28.000000,1.000000,
