12, 1, 12
E,1,2,5,25.000000,1.000000,
E,1,3,3,0.043478,10.000000,
E,2,4,5,30.000000,1.000000,
E,2,5,5,29.000000,1.000000,
E,3,4,2,13.000000,29.000000,
E,3,5,3,0.045455,5.000000,
E,4,6,2,14.000000,28.000000,
E,4,7,2,19.000000,37.000000,
E,5,6,3,0.050000,10.000000,
E,5,7,5,26.000000,1.000000,
E,6,8,3,0.045455,9.000000,
E,6,9,4,0.166667,16.000000,
E,7,8,3,0.050000,5.000000,
E,7,9,3,0.041667,9.000000,
E,8,10,2,23.000000,35.000000,
E,8,11,3,0.047619,8.000000,
E,9,10,2,19.000000,37.000000,
E,9,11,1,26.000000,37.000000,
E,10,12,4,0.166667,16.000000,
E,11,12,1,29.000000,16.000000,
